0;5;100.0
0;21;100.0
1;7;0.0
1;24;40.0
2;16;100.0
2;6;70.0
3;12;70.0
3;25;100.0
3;18;100.0
3;6;70.0
3;11;70.0
4;30;70.0
4;4;40.0
4;29;70.0
4;27;100.0
5;15;100.0
5;10;70.0
5;1;100.0
5;20;100.0
6;8;70.0
6;22;70.0
6;24;40.0
6;26;0.0
7;19;100.0
7;16;100.0
7;28;40.0
7;11;70.0
8;4;40.0
8;3;70.0
8;13;0.0
9;4;40.0
9;14;40.0
10;1;100.0
10;10;70.0
10;20;100.0
10;27;100.0
11;27;100.0
11;29;70.0
11;30;70.0
11;0;70.0
11;14;40.0
11;4;40.0
12;8;70.0
12;21;100.0
12;5;100.0
12;18;100.0
13;29;70.0
13;9;100.0
13;19;100.0
13;23;100.0
13;2;40.0
14;29;70.0
14;2;40.0
14;4;40.0
14;19;100.0
14;17;100.0
14;9;100.0
14;3;70.0
